race,tau,geoid_county
black,2.5,17145
black,0.25,17147
black,0.75,17149
black,2.5,17151
black,0.25,17153
black,2.5,17155
black,0.5,17157
black,0.1,17159
black,0.75,17161
black,2.5,17163
black,0.5,17165
black,0.875,17167
black,2.5,17169
black,2.5,17171
black,0.5,17173
black,0.1,17175
black,0.75,17177
black,0.5,17179
black,0.25,17181
black,0.875,17183
black,0.1,17185
black,0.5,17187
black,0.5,17189
black,0.25,17191
black,0.25,17193
black,0.75,17195
black,1.75,17197
black,1.125,17199
black,1.5,17201
black,0.25,17203
black,0.25,18001
black,1.125,18003
black,0.25,18005
black,0.25,18007
black,2.5,18009
black,0.5,18011
black,2.5,18013
black,2.5,18015
black,0.25,18017
black,0.75,18019
black,0.25,18021
black,0.25,18023
black,0.25,18025
black,0.25,18027
black,0.25,18029
black,2.5,18031
black,1.125,18033
black,0.5,18035
black,0.25,18037
black,1.125,18039
black,0.75,18041
black,0.5,18043
black,0.25,18045
black,2.5,18047
black,0.5,18049
black,0.5,18051
black,0.5,18053
black,0.5,18055
black,0.75,18057
black,2.5,18059
black,0.5,18061
black,0.5,18063
black,0.25,18065
black,0.75,18067
black,0.1,18069
black,0.5,18071
black,0.5,18073
black,0.75,18075
black,0.5,18077
black,0.25,18079
black,0.75,18081
black,0.25,18083
black,0.5,18085
black,0.25,18087
black,2.0,18089
black,0.75,18091
black,0.25,18093
black,0.5,18095
black,2.5,18097
black,0.5,18099
black,2.5,18101
black,0.25,18103
black,0.25,18105
black,0.75,18107
black,0.75,18109
black,0.75,18111
black,0.5,18113
black,0.25,18115
black,0.25,18117
black,0.5,18119
black,0.25,18121
black,0.25,18123
black,2.5,18125
black,0.875,18127
black,0.25,18129
black,2.5,18131
black,0.25,18133
black,0.5,18135
black,0.25,18137
black,0.25,18139
black,0.875,18141
black,0.25,18143
black,0.5,18145
black,0.25,18147
black,0.5,18149
black,2.5,18151
black,2.0,18153
black,0.1,18155
black,0.5,18157
black,0.75,18159
black,0.1,18161
black,0.5,18163
black,0.25,18165
black,0.5,18167
black,0.25,18169
black,2.5,18171
black,0.5,18173
black,2.5,18175
black,0.5,18177
black,0.25,18179
black,2.5,18181
black,0.5,18183
black,2.5,19001
black,2.5,19003
black,0.75,19005
black,0.25,19007
black,0.1,19009
black,0.5,19011
black,0.75,19013
black,0.25,19015
black,0.25,19017
black,0.75,19019
black,0.25,19021
black,0.25,19023
black,0.25,19025
black,2.5,19027
black,1.125,19029
black,1.125,19031
black,0.25,19033
black,0.25,19035
black,0.5,19037
black,0.75,19039
black,0.5,19041
black,2.5,19043
black,0.5,19045
black,0.25,19047
black,0.25,19049
black,0.5,19051
black,0.1,19053
black,2.5,19055
black,0.5,19057
black,1.375,19059
black,0.25,19061
black,2.5,19063
black,0.25,19065
black,0.25,19067
black,0.1,19069
black,2.5,19071
black,0.875,19073
black,2.5,19075
black,0.1,19077
black,0.25,19079
black,2.5,19081
black,0.25,19083
black,0.1,19085
black,0.1,19087
black,2.5,19089
black,0.875,19091
black,2.5,19093
black,0.75,19095
black,0.25,19097
black,0.25,19099
black,0.25,19101
black,0.25,19103
black,0.25,19105
black,2.5,19107
black,2.5,19109
black,0.5,19111
black,0.5,19113
black,0.75,19115
black,0.5,19117
black,2.5,19119
black,0.25,19121
black,1.375,19123
black,2.5,19125
black,0.5,19127
black,0.25,19129
black,2.5,19131
black,0.1,19133
black,2.5,19135
black,0.75,19137
black,0.5,19139
black,0.1,19141
black,2.5,19143
black,1.5,19145
black,0.1,19147
black,2.5,19149
black,2.5,19151
black,0.75,19153
black,0.75,19155
black,0.75,19157
black,0.25,19159
black,0.5,19161
black,0.5,19163
black,2.5,19165
black,0.5,19167
black,0.5,19169
black,0.5,19171
black,2.5,19173
black,0.1,19175
black,0.25,19177
black,0.25,19179
black,0.5,19181
black,0.75,19183
black,2.5,19185
black,0.875,19187
black,0.25,19189
black,0.1,19191
black,0.5,19193
black,0.25,19195
black,0.5,19197
black,0.25,20001
black,0.5,20003
black,0.5,20005
black,2.5,20007
black,0.75,20009
black,0.25,20011
black,0.25,20013
black,0.75,20015
black,0.1,20017
black,0.25,20019
black,0.25,20021
black,0.25,20023
black,0.1,20025
black,0.25,20027
black,0.5,20029
black,0.1,20031
black,0.1,20033
black,0.25,20035
black,0.5,20037
black,0.1,20039
black,0.5,20041
black,0.5,20043
black,0.5,20045
black,1.0,20047
black,0.1,20049
black,0.25,20051
black,0.25,20053
black,0.25,20055
black,0.75,20057
black,0.25,20059
black,0.75,20061
black,0.25,20063
black,0.1,20065
black,0.25,20067
black,0.1,20069
black,0.1,20071
black,2.5,20073
black,0.1,20075
black,0.1,20077
black,0.5,20079
black,0.25,20081
black,0.1,20083
black,0.1,20085
black,0.5,20087
black,0.1,20089
black,0.25,20091
black,0.1,20093
black,0.5,20095
black,0.1,20097
black,0.5,20099
black,2.5,20101
black,0.875,20103
black,0.5,20105
black,2.5,20107
black,0.1,20109
black,0.5,20111
black,0.25,20113
black,0.25,20115
black,0.25,20117
black,0.1,20119
black,0.75,20121
black,0.5,20123
black,0.5,20125
black,0.875,20127
black,2.5,20129
black,1.5,20131
black,0.25,20133
black,0.1,20135
black,0.1,20137
black,2.5,20139
black,0.1,20141
black,0.1,20143
black,0.5,20145
black,0.25,20147
black,0.1,20149
black,0.5,20151
black,1.125,20153
black,0.5,20155
black,2.5,20157
black,0.25,20159
black,0.75,20161
black,0.5,20163
black,0.1,20165
black,2.5,20167
black,0.25,20169
black,0.1,20171
black,1.25,20173
black,2.0,20175
black,0.875,20177
black,0.1,20179
black,0.25,20181
black,2.5,20183
black,0.1,20185
black,0.1,20187
black,0.1,20189
black,0.25,20191
black,0.25,20193
black,0.5,20195
black,0.5,20197
black,2.5,20199
black,2.5,20201
black,2.5,20203
black,2.5,20205
black,0.1,20207
black,2.5,20209
black,0.25,21001
black,0.1,21003
black,1.5,21005
black,0.5,21007
black,0.25,21009
black,0.25,21011
black,0.75,21013
black,0.5,21015
black,0.5,21017
black,0.5,21019
black,0.75,21021
black,0.75,21023
black,0.25,21025
black,0.25,21027
black,1.125,21029
black,0.25,21031
black,0.25,21033
black,0.25,21035
black,0.25,21037
black,0.25,21039
black,0.1,21041
black,0.25,21043
black,0.5,21045
black,2.5,21047
black,0.875,21049
black,2.5,21051
black,0.1,21053
black,0.25,21055
black,0.5,21057
black,0.25,21059
black,0.25,21061
black,0.1,21063
black,0.1,21065
black,1.75,21067
black,0.25,21069
black,0.75,21071
black,0.5,21073
black,0.5,21075
black,0.1,21077
black,0.25,21079
black,0.5,21081
black,0.5,21083
black,0.5,21085
black,0.5,21087
black,0.25,21089
black,0.1,21091
black,0.5,21093
black,0.25,21095
black,0.875,21097
black,0.25,21099
black,0.5,21101
black,0.1,21103
black,0.5,21105
black,0.5,21107
black,0.25,21109
black,1.375,21111
black,0.5,21113
black,0.5,21115
black,0.75,21117
black,0.25,21119
black,0.25,21121
black,0.5,21123
black,0.5,21125
black,0.1,21127
black,2.5,21129
black,0.25,21131
black,0.5,21133
black,0.25,21135
black,0.5,21137
black,2.5,21139
black,0.75,21141
black,0.1,21143
black,1.125,21145
black,0.25,21147
black,0.25,21149
black,0.875,21151
black,0.25,21153
black,0.25,21155
black,0.1,21157
black,2.5,21159
black,0.25,21161
black,0.875,21163
black,0.1,21165
black,1.375,21167
black,0.25,21169
black,0.5,21171
black,0.25,21173
black,0.5,21175
black,0.5,21177
black,0.1,21179
black,2.5,21181
black,0.5,21183
black,0.1,21185
black,0.1,21187
black,0.25,21189
black,1.75,21191
black,0.5,21193
black,0.25,21195
black,0.25,21197
black,0.5,21199
black,2.5,21201
black,0.5,21203
black,0.25,21205
black,0.25,21207
black,0.5,21209
black,2.5,21211
black,0.875,21213
black,0.1,21215
black,0.75,21217
black,0.1,21219
black,0.1,21221
black,0.1,21223
black,1.0,21225
black,1.0,21227
black,0.5,21229
black,0.25,21231
black,1.75,21233
black,0.75,21235
black,0.25,21237
black,0.1,21239
black,1.5,22001
black,1.25,22003
black,2.5,22005
black,0.25,22007
black,2.0,22009
black,2.5,22011
black,0.875,22013
black,2.5,22015
black,2.5,22017
black,2.5,22019
black,1.0,22021
black,1.5,22023
black,0.25,22025
black,2.5,22027
black,0.75,22029
black,2.5,22031
black,2.5,22033
black,0.5,22035
black,0.1,22037
black,2.5,22039
black,2.5,22041
black,0.5,22043
black,1.375,22045
black,1.0,22047
black,0.875,22049
black,1.375,22051
black,1.75,22053
black,1.5,22055
black,1.375,22057
black,1.25,22059
black,1.25,22061
black,1.0,22063
black,0.25,22065
black,2.5,22067
black,0.5,22069
black,2.5,22071
black,2.5,22073
black,0.5,22075
black,0.5,22077
black,2.5,22079
black,1.75,22081
black,1.125,22083
black,0.75,22085
black,0.75,22087
black,0.5,22089
black,0.1,22091
black,1.125,22093
black,2.5,22095
black,1.25,22097
black,0.5,22099
black,1.75,22101
black,1.375,22103
black,2.5,22105
black,0.75,22107
black,1.0,22109
black,0.5,22111
black,0.75,22113
black,2.5,22115
black,1.75,22117
black,2.5,22119
black,0.5,22121
black,1.0,22123
black,2.5,22125
black,1.0,22127
black,0.5,23001
black,0.5,23003
black,0.25,23005
black,0.5,23007
black,0.25,23009
black,0.25,23011
black,0.25,23013
black,0.75,23015
black,0.5,23017
black,0.25,23019
black,0.5,23021
black,0.1,23023
black,0.25,23025
black,0.5,23027
